date,min,max,pm25,q1,q3,stdev,count
2020-09-30T00:00:00.000Z,1,21.08,6.92,4.07,9.32,3.627,396
2020-10-01T00:00:00.000Z,3.17,22.27,8.69,6.35,10.23,2.676,302
2020-10-02T00:00:00.000Z,8.32,27.02,17,13,19.55,3.931,259
2020-10-03T00:00:00.000Z,9.1,46.37,21.15,15.5,24.1,6.037,246
2020-10-04T00:00:00.000Z,9.77,33.58,23.78,18.89,27.05,4.582,318
2020-10-05T00:00:00.000Z,0.5,12.27,2.52,1.17,6.3,3.092,322
2020-10-06T00:00:00.000Z,1.67,30.88,3.64,2.72,15.52,9.485,330
2020-10-07T00:00:00.000Z,1.37,6.03,3.03,2.22,3.72,0.98,324
2020-10-08T00:00:00.000Z,0.75,5.05,1.95,1.55,2.5,0.674,315
2020-10-09T00:00:00.000Z,0.47,5.45,1.41,1.08,2,0.862,334
2020-10-10T00:00:00.000Z,0.5,6.6,2,1.6,2.83,1.032,410
2020-10-11T00:00:00.000Z,0.5,4.03,1.1,0.9,1.4,0.46,429
2020-10-12T00:00:00.000Z,0.2,2.67,0.5,0.4,0.7,0.334,351
2020-10-13T00:00:00.000Z,0.32,3.75,0.7,0.6,0.8,0.292,405
2020-10-14T00:00:00.000Z,0.32,6.7,0.7,0.6,0.88,0.704,389
2020-10-15T00:00:00.000Z,0.3,3.55,0.67,0.52,0.8,0.367,390
2020-10-16T00:00:00.000Z,0.2,14.85,0.62,0.5,1.84,1.909,421
2020-10-17T00:00:00.000Z,0.28,1.9,0.7,0.6,0.9,0.247,416
2020-10-18T00:00:00.000Z,0.2,147.5,0.6,0.5,0.75,7.559,432
2020-10-19T00:00:00.000Z,0.3,13.52,0.7,0.54,1.2,0.84,425
2020-10-20T00:00:00.000Z,0.7,10.32,1.73,1.3,2.99,2.31,444
2020-10-21T00:00:00.000Z,7.63,23.02,13.95,10.43,17.8,4.038,431
2020-10-22T00:00:00.000Z,0.5,13.68,1.99,1.12,3.28,2.389,422
2020-10-23T00:00:00.000Z,0.3,49.63,1.65,0.9,2.06,2.82,404
2020-10-24T00:00:00.000Z,0.7,5.5,2.25,1.77,3.12,0.967,421
2020-10-25T00:00:00.000Z,0.6,10.68,5.6,2.4,7.85,2.829,468
2020-10-26T00:00:00.000Z,0.8,30,4.63,2.08,9.18,8.186,470
